I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-52.66,-60.26,-7.79,57.3,-22.87,-34.56,32.92,-92.61,-35.49,-65.32,-29.63,-53.68
-48.72,-57.81,-8.77,54.06,-20.41,-33.78,37.52,-89.48,-33.51,-72.27,-16.84,-48.89
-44.78,-54.56,-9.38,50.46,-18.08,-32.42,40.85,-86.46,-31.78,-77.69,-3.79,-44.55
-40.04,-50.98,-10.1,46.27,-15.33,-30.95,44.61,-82.88,-29.75,-83.73,8.48,-39.52
-34.73,-46.92,-10.79,41.53,-12.31,-29.21,48.3,-78.93,-27.58,-89.76,20.13,-34.09
-30.47,-43.65,-11.5,37.71,-9.78,-27.89,51.37,-75.36,-25.48,-95.11,32.72,-28.2
-27.32,-41.34,-12.28,34.92,-7.77,-27.1,53.94,-72.19,-23.42,-99.94,46.21,-21.71
-24.66,-39.27,-13.0,32.5,-6.0,-26.41,55.89,-69.15,-21.4,-104.1,59.92,-14.87
-22.93,-37.81,-13.7,30.85,-4.68,-26.03,57.11,-66.46,-19.46,-107.44,74.21,-7.61
-20.97,-36.32,-14.44,29.04,-3.24,-25.66,58.3,-63.51,-17.35,-110.84,87.82,0.28
-18.74,-34.74,-15.23,27.03,-1.66,-25.26,59.44,-60.28,-15.08,-114.29,100.64,8.8
-17.2,-33.74,-16.04,25.64,-0.39,-25.18,60.06,-57.24,-12.8,-117.21,113.55,17.91
-16.13,-33.19,-16.89,24.7,0.66,-25.35,60.31,-54.28,-10.46,-119.77,126.25,27.67
-14.56,-32.11,-17.65,23.2,1.88,-25.26,59.87,-51.31,-8.58,-122.02,137.57,37.31
-12.54,-30.49,-18.33,21.16,3.25,-24.89,58.65,-48.41,-7.22,-123.89,147.49,46.8
-10.39,-28.76,-18.99,18.96,4.66,-24.49,56.88,-45.52,-6.11,-125.48,156.27,56.52
-7.86,-26.66,-19.6,16.35,6.19,-23.91,54.47,-42.65,-5.4,-126.77,163.58,66.3
-5.81,-24.96,-20.23,14.16,7.49,-23.57,51.42,-39.97,-4.84,-127.57,170.23,76.56
-4.28,-23.73,-20.88,12.42,8.53,-23.5,47.75,-37.49,-4.43,-127.87,176.2,87.34
-2.68,-22.38,-21.49,10.55,9.56,-23.39,43.34,-35.14,-4.41,-127.76,180.74,98.28
-1.19,-21.11,-22.08,8.73,10.5,-23.35,38.18,-32.96,-4.76,-127.2,183.98,109.46
1.25,-19.68,-23.15,6.7,12.27,-23.26,36.2,-28.52,-2.91,-126.46,187.24,118.56
4.81,-18.03,-24.72,4.37,14.99,-23.08,37.76,-21.57,1.35,-125.57,190.53,125.3
8.84,-16.39,-26.59,2.01,18.15,-22.94,41.01,-13.31,6.84,-124.36,193.25,130.82
13.66,-14.69,-28.89,-0.46,22.04,-22.8,47.07,-3.02,14.28,-122.89,195.71,134.44
18.81,-12.92,-31.33,-3.05,26.18,-22.67,53.63,7.9,22.13,-121.03,196.88,137.39
24.23,-11.11,-33.91,-5.73,30.55,-22.55,60.58,19.38,30.3,-118.75,196.65,139.71
30.47,-9.2,-36.9,-8.58,35.61,-22.42,70.09,32.76,40.22,-116.19,195.8,140.15
37.43,-7.17,-40.25,-11.59,41.29,-22.28,81.73,47.78,51.6,-113.3,194.06,138.91
46.32,-4.86,-45.92,-16.95,48.28,-23.68,95.04,70.53,67.01,-103.95,195.9,140.57
57.37,-2.21,-54.17,-24.88,56.73,-26.78,110.34,101.89,86.93,-87.54,201.84,145.37
69.98,0.69,-64.05,-34.38,66.29,-30.86,127.62,138.86,110.02,-66.89,209.59,151.23
84.55,3.89,-76.15,-46.1,77.19,-36.37,146.91,183.33,137.13,-40.23,220.46,159.38
100.55,11.83,-86.3,-59.56,89.2,-36.75,169.15,234.75,180.19,1.72,242.92,176.29
117.99,24.98,-94.14,-74.82,102.32,-31.41,194.46,293.32,240.55,60.15,277.98,202.76
137.54,41.34,-102.22,-92.73,116.93,-23.83,222.49,361.21,313.5,132.49,322.92,236.89
159.15,62.22,-109.46,-113.3,133.02,-12.22,253.55,438.68,402.74,221.84,380.49,280.83
197.83,97.96,-115.53,-149.54,156.73,4.67,278.87,535.07,522.59,350.7,486.73,353.99
255.3,149.84,-120.47,-203.02,188.78,27.04,297.62,652.13,675.39,522.48,646.21,459.1
324.56,214.32,-123.49,-267.83,226.36,55.99,314.22,786.14,858.21,730.08,844.98,589.39
410.07,294.72,-124.41,-347.9,271.3,92.19,326.21,940.34,1076.27,981.15,1094.47,751.28
503.08,374.75,-135.25,-433.76,323.39,122.07,325.76,1044.64,1251.26,1206.82,1338.05,912.05
603.33,453.69,-156.91,-525.1,382.87,144.96,311.88,1092.7,1377.38,1402.51,1572.7,1070.23
719.36,542.69,-183.46,-630.3,451.72,168.12,285.86,1120.79,1495.24,1608.32,1836.79,1247.96
849.66,638.06,-218.16,-747.58,530.31,188.13,244.97,1109.51,1583.97,1806.78,2117.17,1437.79
933.24,703.57,-231.61,-823.52,577.54,211.28,175.15,1012.38,1561.34,1871.89,2254.06,1548.63
965.36,736.47,-221.04,-853.95,589.97,238.3,73.71,823.46,1418.12,1791.78,2234.13,1572.99
973.93,750.94,-203.24,-862.89,587.54,263.22,-55.93,546.25,1173.57,1610.2,2121.92,1547.79
941.93,736.53,-170.26,-835.36,558.83,287.44,-219.01,163.75,800.35,1288.7,1871.01,1446.64
852.49,716.61,-99.81,-782.06,478.81,320.16,-345.95,-189.48,401.46,892.29,1543.75,1301.6
701.79,691.47,10.36,-702.11,343.83,361.46,-431.76,-508.57,-23.09,417.47,1137.6,1110.92
503.42,639.77,153.07,-576.7,171.81,407.96,-514.96,-849.53,-475.46,-107.65,656.35,853.99
251.1,565.55,335.5,-405.72,-45.04,462.01,-577.37,-1178.35,-928.2,-665.72,114.3,535.49
36.87,496.24,471.03,-264.28,-220.51,492.68,-615.13,-1414.72,-1280.96,-1110.16,-337.44,261.7
-129.76,430.98,552.94,-154.74,-345.29,497.18,-628.04,-1546.48,-1508.36,-1408.27,-674.21,40.37
-291.17,358.64,629.28,-39.02,-464.97,492.18,-601.67,-1579.35,-1626.34,-1605.42,-950.28,-176.07
-420.74,285.47,677.18,64.37,-555.08,469.25,-532.5,-1482.87,-1592.61,-1645.7,-1114.08,-358.06
-499.44,213.55,684.18,142.55,-596.35,433.94,-472.84,-1371.73,-1529.74,-1639.67,-1207.1,-490.41
-521.58,143.48,649.12,194.22,-585.2,386.58,-421.99,-1241.41,-1429.53,-1578.04,-1218.31,-567.69
-498.33,79.71,566.69,213.46,-530.4,316.74,-349.45,-1024.68,-1251.69,-1426.41,-1139.56,-587.54
-421.04,23.9,431.13,194.45,-424.26,224.71,-266.2,-742.84,-1019.85,-1204.4,-973.01,-540.98
-365.08,-35.87,321.03,195.06,-339.63,144.35,-194.04,-514.91,-812.03,-1011.69,-840.66,-515.27
-336.15,-98.6,239.64,216.2,-281.93,76.42,-132.88,-346.21,-638.06,-859.63,-753.49,-513.37
-289.64,-156.07,142.73,223.12,-208.93,3.98,-80.65,-195.11,-481.23,-717.47,-653.73,-482.92
-244.98,-210.13,49.38,228.75,-139.46,-64.76,-43.71,-94.74,-368.42,-617.41,-576.04,-444.31
-211.91,-250.83,-24.0,234.15,-85.74,-121.34,-1.18,19.39,-255.51,-514.74,-498.59,-413.23
-190.24,-275.83,-77.12,237.1,-48.18,-164.92,46.06,146.47,-149.04,-415.12,-423.21,-388.36
-189.1,-290.56,-101.46,247.12,-35.53,-192.36,81.28,223.42,-91.89,-368.39,-393.56,-378.8
-212.94,-291.56,-90.49,264.82,-53.24,-200.09,107.84,259.87,-81.03,-371.83,-410.63,-390.08
-216.82,-297.43,-95.77,269.21,-53.31,-210.89,136.76,304.59,-53.29,-349.39,-398.35,-383.15
-201.21,-309.52,-116.5,261.07,-36.37,-224.13,166.34,350.35,-12.78,-305.94,-361.8,-359.63
-193.45,-315.5,-119.87,251.8,-32.34,-224.54,192.74,376.31,7.14,-281.98,-344.14,-345.12
-184.22,-319.93,-116.2,237.15,-31.46,-216.42,217.83,390.35,18.59,-263.0,-331.41,-332.46
-178.72,-319.29,-115.31,229.7,-31.12,-211.51,229.06,399.55,26.32,-252.43,-325.82,-323.07
-179.86,-312.43,-114.87,231.58,-33.91,-209.15,225.04,402.97,28.2,-253.96,-331.99,-320.27
-178.5,-304.72,-117.29,233.77,-34.22,-206.51,212.95,401.96,30.31,-256.0,-339.96,-319.15
-176.39,-295.27,-124.73,239.91,-31.75,-206.41,189.29,398.48,33.95,-259.74,-351.32,-321.18
-174.72,-285.92,-125.09,239.4,-32.48,-202.73,175.4,394.23,34.14,-260.66,-358.72,-317.38
-172.18,-277.81,-118.91,230.79,-35.41,-195.63,173.42,390.83,32.7,-255.89,-359.74,-306.45
-169.47,-269.62,-114.2,222.28,-37.11,-190.68,170.18,389.72,33.91,-247.96,-359.08,-294.18
-166.33,-262.32,-108.8,211.09,-38.33,-186.94,171.35,392.54,37.9,-234.31,-353.83,-277.94
-160.99,-255.48,-104.76,202.45,-36.62,-182.87,165.28,399.25,41.01,-218.75,-347.6,-263.59
-153.24,-249.28,-103.33,197.56,-31.14,-179.34,150.42,411.27,44.2,-200.79,-340.31,-251.79
-143.48,-245.09,-102.33,191.65,-23.22,-176.85,137.26,430.98,50.32,-175.5,-327.18,-237.42
-131.11,-243.09,-102.71,186.26,-11.85,-175.45,122.98,459.51,59.18,-143.06,-308.57,-221.85
-122.1,-237.52,-101.51,179.87,-5.12,-171.89,112.78,474.29,63.36,-122.54,-296.22,-207.12
-116.8,-228.3,-98.42,171.92,-3.63,-166.05,108.46,474.39,62.83,-114.59,-290.2,-192.82
-111.81,-218.52,-95.83,164.42,-2.49,-159.77,105.55,472.2,61.45,-109.7,-284.72,-178.96
-108.63,-206.85,-93.05,156.89,-3.76,-152.26,105.96,462.2,57.5,-112.62,-282.53,-165.96
-103.6,-197.38,-92.08,149.63,-2.38,-146.19,108.94,459.78,57.03,-110.06,-274.95,-151.52
-96.29,-190.63,-93.38,142.95,2.35,-141.92,114.31,466.82,60.77,-100.7,-261.03,-135.6
-89.68,-183.57,-95.48,136.34,6.29,-137.51,124.3,471.36,64.47,-94.98,-247.17,-119.68
-82.88,-177.29,-99.0,129.99,10.72,-133.68,138.93,477.3,69.73,-89.71,-231.19,-103.26
-77.34,-171.07,-100.07,124.25,13.58,-129.79,146.2,479.49,72.47,-83.53,-219.71,-90.37
-73.52,-164.65,-98.24,119.13,14.28,-125.67,145.51,476.37,72.0,-77.34,-213.93,-81.58
-70.04,-159.24,-95.96,114.67,14.79,-122.2,142.75,473.45,71.61,-69.37,-208.97,-74.63
-67.38,-154.65,-92.16,110.98,14.46,-119.24,134.82,469.14,70.17,-59.44,-206.77,-70.71
-65.29,-150.84,-89.03,107.93,13.73,-116.87,129.44,464.27,69.43,-50.49,-204.64,-67.9
-63.66,-148.01,-86.85,105.57,12.81,-115.25,127.28,459.48,69.8,-42.28,-202.11,-66.08
-63.06,-146.11,-83.67,104.11,10.88,-114.26,121.89,453.06,69.54,-33.12,-202.16,-67.29
-63.42,-145.23,-80.0,103.57,8.09,-113.99,115.0,445.37,69.14,-23.5,-204.17,-71.19
-62.17,-142.23,-76.83,101.29,6.65,-112.07,107.3,438.59,68.55,-15.39,-203.6,-71.18
-59.18,-136.82,-74.04,97.08,6.62,-108.29,98.06,432.71,67.55,-8.78,-200.44,-66.93
-55.64,-130.62,-71.52,92.23,7.06,-103.86,88.17,426.98,66.59,-3.05,-196.42,-61.43
-50.87,-122.75,-69.5,86.03,8.54,-98.15,77.59,421.94,65.61,1.29,-190.42,-52.91
-46.47,-115.18,-66.98,80.15,9.64,-92.59,64.35,416.17,64.4,6.03,-185.71,-45.81
-42.56,-108.04,-63.96,74.69,10.27,-87.31,48.47,409.64,63.01,11.22,-182.49,-40.4
-37.75,-99.61,-61.11,68.2,11.64,-81.0,30.77,403.51,61.49,15.56,-178.17,-33.0
-32.37,-90.3,-58.22,61.03,13.44,-73.97,10.79,397.51,59.83,19.41,-173.44,-24.53
-27.9,-82.86,-55.83,55.16,14.78,-68.53,-2.98,391.78,59.72,24.6,-169.97,-19.07
-24.29,-77.32,-54.07,50.61,15.73,-64.75,-9.7,386.51,61.35,31.17,-167.6,-16.54
-21.08,-72.66,-52.55,46.66,16.51,-61.72,-13.76,381.46,63.9,38.52,-166.05,-15.65
-18.61,-69.59,-51.44,43.8,16.94,-60.05,-12.76,376.76,67.87,47.14,-165.69,-17.42
-15.67,-66.06,-50.61,40.5,17.85,-58.07,-11.43,372.65,72.34,55.64,-164.92,-18.53
-12.19,-61.98,-50.06,36.71,19.29,-55.7,-10.09,369.17,77.27,63.99,-163.7,-18.86
-9.09,-58.97,-49.99,33.59,20.67,-54.29,-4.26,366.33,83.59,73.32,-163.15,-20.91
-6.09,-56.6,-50.41,30.83,22.19,-53.51,5.12,364.23,91.13,83.36,-162.93,-23.98
-3.03,-53.01,-49.77,27.46,23.3,-51.48,10.05,361.0,96.44,91.96,-162.02,-26.06
0.02,-48.19,-47.96,23.53,23.89,-48.19,10.39,356.53,99.32,99.06,-160.45,-27.23
3.16,-42.77,-45.72,19.26,24.36,-44.31,9.41,351.78,101.33,105.5,-158.45,-27.98
6.41,-36.25,-42.62,14.43,24.55,-39.34,5.07,346.29,101.54,110.74,-155.75,-27.79
9.46,-30.15,-39.65,9.9,24.63,-34.74,3.26,341.16,102.24,116.34,-153.23,-28.51
12.31,-24.53,-36.84,5.69,24.64,-30.54,4.34,336.52,103.57,122.39,-150.9,-30.17
15.13,-18.22,-33.36,1.17,24.35,-25.64,3.68,331.39,103.57,127.61,-148.08,-31.43
17.87,-11.54,-29.42,-3.48,23.78,-20.32,2.57,326.03,102.73,132.34,-144.93,-32.67
20.68,-5.33,-26.02,-7.94,23.52,-15.5,3.18,321.81,103.28,137.84,-140.45,-34.61
23.59,0.46,-23.16,-12.25,23.59,-11.14,5.16,318.76,105.18,144.09,-134.45,-37.16
26.48,6.03,-20.47,-16.44,23.72,-7.01,8.41,316.4,107.68,150.7,-127.48,-40.24
29.39,11.17,-18.21,-20.43,24.06,-3.3,13.39,315.1,111.33,157.98,-119.22,-44.01
32.28,16.7,-15.57,-24.6,24.23,0.79,17.69,313.84,114.32,164.87,-110.03,-47.68
35.14,22.63,-12.5,-28.93,24.18,5.32,21.28,312.59,116.58,171.33,-99.92,-51.23
38.02,28.41,-9.61,-33.21,24.24,9.68,25.75,312.17,119.45,178.14,-88.37,-55.19
40.93,34.2,-6.73,-37.49,24.32,14.05,30.57,312.38,122.55,185.1,-75.43,-59.39
43.44,39.23,-4.22,-41.21,24.37,17.84,33.99,309.42,123.94,191.17,-63.72,-63.39
45.53,43.35,-2.18,-44.29,24.42,20.93,35.98,303.0,123.56,196.34,-53.38,-67.22
47.38,47.06,-0.32,-47.05,24.43,23.73,37.0,294.79,122.06,200.94,-43.17,-70.95
48.87,50.11,1.24,-49.33,24.4,26.05,36.56,283.72,118.92,204.69,-33.76,-74.45
50.26,52.8,2.54,-51.37,24.44,28.06,36.09,272.22,115.59,208.4,-23.47,-78.11
51.56,55.17,3.6,-53.21,24.55,29.78,35.58,260.38,112.11,212.08,-12.16,-81.92
52.54,56.82,4.29,-54.54,24.68,30.96,33.88,246.04,107.27,215.09,-1.26,-85.58
53.24,57.82,4.58,-55.43,24.84,31.62,31.23,229.65,101.36,217.59,9.58,-89.17
53.92,58.88,4.96,-56.33,24.97,32.34,28.57,213.75,95.35,220.09,15.68,-92.85
54.58,59.99,5.41,-57.24,25.06,33.13,25.81,198.24,89.16,222.54,16.38,-96.61
55.12,60.83,5.72,-57.95,25.15,33.72,22.64,182.19,82.49,224.8,14.1,-100.39
55.58,61.57,5.99,-58.57,25.23,34.23,19.27,166.19,75.56,227.0,7.42,-104.23
55.77,61.68,5.9,-58.75,25.34,34.24,14.76,148.14,67.44,228.63,-1.34,-107.91
55.67,61.1,5.43,-58.46,25.49,33.72,9.05,127.88,58.06,229.69,-12.12,-111.44
55.42,60.23,4.81,-57.95,25.63,32.98,2.72,106.93,48.05,230.48,-27.41,-114.92
54.97,58.93,3.96,-57.13,25.78,31.91,-4.46,84.79,37.19,230.91,-46.83,-118.3
54.17,57.73,3.55,-56.17,25.55,31.1,-10.03,64.44,27.76,230.87,-59.22,-122.16
53.02,56.69,3.66,-55.1,24.9,30.64,-13.71,46.33,20.06,230.38,-63.9,-126.56
51.56,55.49,3.92,-53.78,24.01,30.17,-16.84,28.67,12.82,229.4,-66.02,-131.19
49.72,54.27,4.53,-52.26,22.78,29.86,-18.72,12.37,6.72,227.9,-62.57,-136.21
47.64,52.83,5.15,-50.5,21.42,29.44,-20.66,-3.98,0.56,226.01,-60.81,-141.3
45.31,51.12,5.76,-48.48,19.94,28.88,-22.75,-20.47,-5.74,223.71,-61.19,-146.44
42.63,49.4,6.71,-46.27,18.12,28.48,-23.72,-35.64,-10.98,220.91,-57.47,-151.93
39.62,47.62,7.93,-43.85,16.01,28.19,-23.82,-49.73,-15.39,217.63,-51.19,-157.69
36.32,45.24,8.83,-41.0,13.91,27.43,-25.08,-64.93,-20.86,213.83,-48.63,-163.27
32.73,42.25,9.41,-37.7,11.8,26.21,-27.48,-81.22,-27.37,209.47,-49.59,-168.66
28.82,38.88,9.93,-34.06,9.58,24.76,-30.23,-97.66,-34.15,204.6,-52.06,-174.04
24.61,34.98,10.22,-30.01,7.3,22.93,-33.82,-114.79,-41.65,199.18,-57.54,-179.29
20.02,30.94,10.75,-25.69,4.73,21.15,-36.72,-130.88,-48.45,193.2,-60.73,-184.77
15.05,26.78,11.53,-21.1,1.84,19.43,-38.85,-145.8,-54.44,186.65,-61.38,-190.5
9.73,22.19,12.24,-16.13,-1.19,17.46,-41.35,-160.8,-60.69,179.52,-63.35,-196.21
4.04,17.26,12.98,-10.81,-4.41,15.33,-43.89,-175.46,-66.88,171.79,-65.49,-201.96
-1.01,12.81,13.58,-6.05,-7.25,13.38,-46.23,-189.96,-73.06,164.91,-66.7,-207.09
-5.32,8.9,14.0,-1.93,-9.62,11.63,-48.46,-204.43,-79.33,159.0,-67.28,-211.5
-9.37,5.18,14.38,1.95,-11.84,9.96,-50.47,-218.48,-85.43,153.39,-66.9,-215.56
-12.89,1.89,14.66,5.35,-13.75,8.47,-52.2,-232.15,-91.4,148.48,-65.35,-219.06
-16.44,-1.52,14.88,8.83,-15.64,6.89,-54.07,-245.61,-97.45,143.43,-64.2,-222.32
-20.07,-5.07,15.03,12.4,-17.53,5.2,-56.07,-258.8,-103.56,138.2,-63.42,-225.34
-23.21,-8.27,15.06,15.56,-19.12,3.64,-57.96,-271.69,-109.64,133.57,-62.01,-227.79
-25.98,-11.24,14.97,18.4,-20.46,2.15,-59.83,-284.29,-115.74,129.4,-60.29,-229.71
-29.12,-14.46,15.01,21.57,-22.05,0.59,-61.42,-295.95,-121.41,124.62,-60.96,-231.68
-32.62,-17.9,15.19,25.03,-23.88,-1.01,-62.7,-306.61,-126.6,119.28,-64.19,-233.69
-36.18,-21.39,15.38,28.54,-25.76,-2.62,-63.83,-316.56,-131.54,113.76,-68.93,-235.47
-39.98,-25.04,15.65,32.26,-27.78,-4.28,-64.75,-325.62,-136.12,107.84,-75.94,-237.18
-43.41,-28.43,15.85,35.66,-29.59,-5.83,-65.52,-334.1,-140.56,102.35,-83.36,-238.35
-46.44,-31.52,15.96,38.7,-31.15,-7.27,-66.15,-342.02,-144.87,97.36,-91.17,-238.94
-49.5,-34.6,16.1,41.76,-32.74,-8.68,-66.55,-349.03,-148.83,92.24,-100.97,-239.28
-52.45,-37.58,16.26,44.71,-34.27,-10.03,-66.73,-355.19,-152.49,87.2,-112.42,-239.26
-55.09,-39.76,16.79,47.12,-35.85,-10.83,-67.12,-361.79,-155.65,82.45,-119.69,-239.13
-57.46,-41.1,17.76,48.97,-37.5,-11.03,-67.74,-368.92,-158.27,77.94,-122.42,-238.94
-59.52,-41.83,18.96,50.38,-39.13,-10.82,-68.4,-375.96,-160.45,73.74,-123.18,-238.48
-61.23,-41.76,20.51,51.21,-40.75,-10.07,-69.21,-383.26,-162.13,69.89,-120.38,-237.82
-62.79,-41.33,22.23,51.8,-42.38,-9.07,-69.9,-389.96,-163.33,66.14,-117.88,-236.89
-64.19,-40.56,24.1,52.14,-44.01,-7.83,-70.44,-396.0,-164.04,62.52,-115.87,-235.66
-65.28,-39.02,26.34,51.94,-45.66,-6.05,-71.07,-402.11,-164.19,59.21,-111.02,-234.23
-66.09,-36.78,28.89,51.26,-47.33,-3.78,-71.74,-408.11,-163.75,56.15,-104.13,-232.58
-66.58,-34.23,31.46,50.27,-48.85,-1.35,-72.19,-413.13,-162.93,53.45,-98.97,-230.38
-66.72,-31.33,34.03,48.92,-50.2,1.26,-72.41,-417.19,-161.73,51.13,-95.46,-227.63
-66.55,-27.93,36.76,47.17,-51.46,4.2,-72.5,-420.56,-160.02,49.15,-92.28,-224.44
-66.05,-24.1,39.57,45.04,-52.6,7.39,-72.38,-423.04,-157.85,47.54,-90.35,-220.74
-65.17,-19.48,42.71,42.34,-53.71,11.11,-72.29,-425.3,-155.04,46.32,-86.55,-216.73
-63.9,-14.03,46.2,39.03,-54.81,15.4,-72.21,-427.36,-151.57,45.5,-80.72,-212.42
-62.24,-7.97,49.87,35.22,-55.8,20.08,-72.01,-428.72,-147.55,45.11,-75.14,-207.62
-60.17,-1.21,53.77,30.86,-56.7,25.2,-71.72,-429.5,-142.91,45.17,-69.12,-202.38
-58.46,4.6,57.68,27.14,-57.81,30.0,-70.49,-429.89,-138.62,45.07,-63.65,-197.54
-57.17,9.28,61.58,24.18,-59.14,34.39,-68.23,-429.85,-134.77,44.77,-59.09,-193.14
-55.91,13.69,65.6,21.37,-60.57,38.79,-65.36,-429.38,-130.87,44.58,-54.45,-188.82
-54.91,17.36,69.69,19.04,-62.19,42.98,-61.63,-428.52,-127.19,44.33,-50.09,-184.81
-53.71,21.21,73.94,16.52,-63.79,47.39,-57.49,-427.02,-123.18,44.4,-45.99,-180.57
-52.27,25.31,78.37,13.76,-65.37,52.04,-52.94,-424.87,-118.81,44.83,-42.09,-176.1
-51.01,28.76,82.86,11.39,-67.1,56.53,-47.54,-422.23,-114.59,45.28,-38.72,-171.85
-49.84,31.76,87.45,9.29,-68.93,60.95,-41.36,-419.02,-110.41,45.84,-35.88,-167.72
-48.2,35.6,91.3,6.54,-70.1,65.1,-35.06,-415.28,-105.51,46.94,-32.1,-163.17
-46.09,40.28,94.3,3.13,-70.54,68.92,-28.62,-411.02,-99.9,48.61,-27.32,-158.21
-43.71,45.27,96.86,-0.57,-70.61,72.53,-21.77,-406.17,-93.86,50.67,-22.28,-153.05
-40.93,50.91,98.72,-4.78,-70.07,75.85,-14.65,-400.75,-87.22,53.25,-16.61,-147.55
-38.2,56.18,100.35,-8.8,-69.43,78.87,-6.73,-394.77,-80.55,56.0,-11.26,-142.16
-35.53,61.01,101.75,-12.58,-68.71,81.57,2.02,-388.23,-73.89,58.92,-6.32,-136.92
-32.59,66.16,102.45,-16.65,-67.47,83.87,11.23,-381.1,-66.81,62.26,-1.01,-131.49
-29.49,71.41,102.55,-20.86,-65.8,85.74,21.04,-373.4,-59.42,65.97,4.44,-125.99
-26.85,75.14,102.27,-24.07,-64.24,87.03,26.93,-368.27,-54.0,68.16,9.38,-121.54
-24.73,77.27,101.54,-26.22,-62.78,87.68,28.39,-366.02,-50.74,68.68,13.82,-118.22
-22.87,78.39,100.29,-27.72,-61.22,87.72,27.64,-365.2,-48.66,68.36,17.92,-115.6
-21.46,78.04,98.54,-28.26,-59.68,87.07,23.38,-366.7,-48.43,66.66,21.51,-113.99
-20.06,77.32,96.0,-28.61,-57.74,85.78,18.1,-368.71,-48.63,64.73,25.13,-112.67
-18.64,76.24,92.62,-28.79,-55.35,83.81,11.93,-371.17,-49.22,62.62,28.78,-111.64
