I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
39.83,83.68,43.07,-61.86,-1.0,64.02,48.23,213.98,295.89,177.43,133.38,80.13
37.44,81.6,44.46,-60.07,-3.37,63.25,43.97,206.91,288.2,169.87,129.24,78.88
35.9,80.52,45.53,-59.01,-4.96,62.99,40.86,202.14,283.21,164.95,126.6,78.12
35.19,80.46,46.37,-58.68,-5.83,63.29,38.95,199.74,281.08,162.82,125.58,77.96
34.82,80.72,46.9,-58.59,-6.32,63.69,37.46,198.34,280.16,161.84,125.14,77.97
35.16,81.72,47.03,-59.06,-6.13,64.41,36.84,198.8,281.47,163.03,125.9,78.34
35.04,82.21,47.4,-59.13,-6.38,64.9,35.81,198.79,282.41,163.74,126.38,78.84
34.39,82.11,48.0,-58.74,-7.11,65.09,34.3,198.19,282.85,163.79,126.51,79.44
34.11,82.42,48.43,-58.65,-7.5,65.48,33.33,198.9,284.94,165.4,127.51,80.41
33.94,82.86,48.82,-58.65,-7.78,65.93,32.63,200.42,288.15,168.0,129.07,81.72
33.58,83.14,49.34,-58.54,-8.24,66.35,31.56,200.66,289.39,169.11,129.69,82.55
33.11,83.36,49.99,-58.39,-8.82,66.78,30.17,199.64,288.65,168.79,129.35,82.88
32.48,83.45,50.75,-58.16,-9.54,67.19,28.58,198.03,287.02,167.81,128.59,83.06
31.65,83.38,51.69,-57.8,-10.47,67.56,26.63,195.31,283.71,165.57,127.03,82.89
31.01,83.55,52.56,-57.62,-11.23,68.06,24.97,193.17,281.08,164.06,125.85,82.91
30.57,83.96,53.38,-57.63,-11.81,68.7,23.59,191.7,279.23,163.36,125.12,83.16
30.08,84.38,54.3,-57.64,-12.44,69.39,22.07,189.58,276.31,161.95,123.91,83.18
29.63,84.91,55.27,-57.73,-13.06,70.17,20.54,187.17,272.81,160.25,122.48,83.1
29.16,85.39,56.22,-57.79,-13.68,70.91,19.09,185.36,270.23,159.32,121.49,83.37
28.65,85.79,57.15,-57.78,-14.34,71.6,17.68,184.08,268.5,159.07,120.9,83.97
28.19,86.27,58.08,-57.83,-14.95,72.33,16.37,183.14,267.22,159.3,120.56,84.78
27.76,86.77,58.98,-57.89,-15.53,73.07,15.17,182.77,266.75,160.26,120.64,85.91
27.33,87.32,59.95,-57.99,-16.12,73.87,13.91,182.1,265.74,160.93,120.51,86.98
26.9,87.94,61.0,-58.15,-16.73,74.75,12.61,181.12,264.14,161.3,120.16,87.98
26.49,88.59,62.05,-58.33,-17.33,75.65,11.35,180.42,262.92,162.08,120.03,89.2
26.1,89.28,63.14,-58.55,-17.92,76.6,10.1,179.82,261.79,163.05,119.99,90.55
25.86,90.09,64.19,-58.88,-18.45,77.56,8.73,178.3,259.53,163.03,119.51,91.45
25.79,91.02,65.19,-59.33,-18.91,78.54,7.24,175.83,256.13,161.98,118.58,91.89
25.82,92.04,66.18,-59.88,-19.34,79.56,5.66,172.76,251.94,160.29,117.37,92.07
26.01,93.17,67.14,-60.54,-19.7,80.6,3.96,168.79,246.65,157.66,115.73,91.85
26.26,94.38,68.11,-61.27,-20.04,81.67,2.25,164.68,241.19,154.94,114.09,91.63
26.58,95.66,69.09,-62.06,-20.36,82.79,0.51,160.44,235.58,152.16,112.46,91.42
27.04,97.05,70.03,-62.97,-20.61,83.93,-1.34,155.43,229.06,148.58,110.49,90.88
27.63,98.55,70.96,-63.98,-20.81,85.09,-3.27,149.8,221.79,144.38,108.27,90.09
28.28,100.14,71.93,-65.08,-21.0,86.34,-5.2,144.13,214.38,140.22,106.06,89.39
28.98,101.84,72.95,-66.26,-21.16,87.67,-7.14,138.37,206.78,136.07,103.86,88.76
29.76,103.64,73.99,-67.53,-21.28,89.07,-9.12,132.33,198.8,131.69,101.57,88.08
30.63,105.55,75.06,-68.9,-21.37,90.54,-11.12,126.13,190.58,127.25,99.26,87.44
31.63,107.59,76.12,-70.4,-21.41,92.05,-13.21,119.25,181.52,122.11,96.67,86.53
32.79,109.77,77.17,-72.02,-21.38,93.61,-15.41,111.65,171.59,116.25,93.78,85.33
34.06,112.06,78.23,-73.76,-21.32,95.25,-17.66,103.68,161.16,110.07,90.78,84.07
35.45,114.5,79.31,-75.62,-21.2,96.94,-19.98,95.21,150.1,103.44,87.59,82.66
36.04,115.48,79.71,-76.35,-21.11,97.61,-22.59,85.4,137.94,96.88,84.0,80.93
35.73,114.85,79.38,-75.81,-21.08,97.12,-25.52,74.2,124.65,90.49,79.98,78.88
34.98,113.37,78.63,-74.61,-21.03,96.0,-28.67,61.88,110.34,83.9,75.6,76.54
33.52,110.57,77.25,-72.38,-21.01,93.92,-32.12,48.2,94.87,77.26,70.79,73.86
31.86,107.35,75.65,-69.85,-20.97,91.54,-35.71,33.72,78.57,70.34,65.73,70.99
30.03,103.76,73.83,-67.03,-20.9,88.86,-39.46,18.42,61.42,63.13,60.4,67.91
27.53,98.93,71.43,-63.24,-20.84,85.28,-43.5,1.79,43.13,55.85,54.65,64.52
24.45,93.0,68.5,-58.61,-20.79,80.92,-47.79,-16.07,23.74,48.47,48.52,60.83
21.48,87.14,65.53,-54.05,-20.68,76.55,-52.2,-34.72,3.42,40.43,42.11,56.89
18.6,81.3,62.5,-49.53,-20.51,72.15,-56.75,-54.18,-17.85,31.72,35.4,52.68
15.52,75.03,59.21,-44.69,-20.29,67.42,-61.49,-74.66,-40.16,22.57,28.35,48.2
12.43,68.58,55.77,-39.74,-20.03,62.51,-66.38,-96.06,-63.49,12.83,20.98,43.44
8.75,61.02,51.79,-33.93,-19.77,56.8,-71.56,-118.84,-88.06,2.89,13.17,38.34
4.44,52.28,47.23,-27.2,-19.5,50.22,-77.04,-143.04,-113.92,-7.25,4.91,32.87
-0.09,43.02,42.38,-20.09,-19.2,43.23,-82.73,-168.4,-140.95,-17.89,-3.73,27.09
-4.98,33.01,37.12,-12.4,-18.88,35.68,-88.68,-195.03,-169.21,-28.94,-12.79,20.96
-9.07,23.5,31.66,-5.61,-18.22,28.25,-93.54,-218.99,-195.23,-40.03,-21.43,14.93
-12.18,14.67,26.03,0.12,-17.19,21.04,-97.18,-239.88,-218.64,-51.14,-29.55,9.03
-14.98,5.75,20.07,5.58,-15.95,13.62,-100.25,-259.65,-241.16,-62.42,-37.58,3.04
-17.12,-2.87,13.83,10.37,-14.4,6.17,-102.36,-277.17,-261.78,-73.76,-45.29,-2.92
-19.19,-11.8,7.25,15.2,-12.71,-1.59,-104.27,-294.66,-282.51,-85.47,-53.15,-9.1
-21.23,-21.08,0.31,20.12,-10.88,-9.72,-106.0,-312.23,-303.44,-97.56,-61.19,-15.53
-22.64,-30.1,-6.91,24.4,-8.75,-17.88,-106.84,-327.75,-322.69,-109.8,-68.95,-21.96
-23.52,-38.97,-14.43,28.17,-6.35,-26.14,-106.92,-341.64,-340.61,-122.24,-76.54,-28.44
-24.88,-47.85,-21.68,32.7,-3.91,-34.24,-107.23,-355.66,-358.73,-134.62,-84.58,-35.33
-26.72,-56.64,-28.61,37.97,-1.42,-42.09,-107.75,-369.63,-376.89,-146.89,-93.08,-42.62
-28.62,-65.33,-35.49,43.48,1.21,-49.86,-108.09,-382.92,-394.56,-159.2,-101.79,-50.17
-30.81,-73.92,-42.14,49.52,3.93,-57.44,-108.46,-395.89,-412.04,-171.48,-110.85,-58.08
-32.54,-82.15,-48.89,55.15,6.94,-64.89,-108.08,-406.88,-427.88,-183.81,-119.76,-66.08
-33.75,-89.97,-55.73,60.3,10.23,-72.2,-106.88,-415.71,-441.94,-196.19,-128.48,-74.16
-35.02,-97.49,-62.37,65.69,13.69,-79.24,-105.43,-423.46,-455.13,-208.5,-137.4,-82.52
-36.16,-104.62,-68.85,71.1,17.36,-85.99,-103.56,-429.68,-467.09,-220.74,-146.39,-91.1
-37.52,-111.43,-74.59,75.94,20.13,-92.25,-102.1,-435.72,-478.03,-231.16,-154.05,-98.36
-39.18,-117.93,-79.49,80.22,21.89,-97.96,-101.22,-441.76,-488.02,-239.57,-160.25,-104.17
-40.87,-123.97,-83.83,84.06,23.19,-103.17,-100.36,-446.8,-496.62,-246.76,-165.59,-109.21
-42.68,-129.56,-87.41,87.3,23.7,-107.8,-99.76,-451.19,-503.88,-252.21,-169.65,-113.03
-44.55,-134.63,-90.46,90.45,24.03,-111.91,-99.07,-454.33,-509.78,-256.87,-173.33,-116.56
-46.46,-139.12,-92.98,93.5,24.2,-115.46,-98.23,-456.07,-514.23,-260.76,-176.64,-119.84
-48.54,-143.06,-94.65,96.06,23.63,-118.32,-97.66,-457.0,-517.23,-262.9,-178.77,-121.99
-50.78,-146.4,-95.48,98.21,22.43,-120.47,-97.29,-456.96,-518.71,-263.45,-179.87,-123.18
-52.72,-148.98,-95.99,100.12,21.44,-122.08,-96.26,-454.96,-518.18,-263.69,-180.82,-124.45
-54.33,-150.79,-96.13,101.73,20.64,-123.11,-94.56,-450.95,-515.57,-263.57,-181.56,-125.75
-55.83,-151.81,-95.65,103.03,19.69,-123.45,-92.56,-445.26,-511.01,-262.53,-181.77,-126.68
-57.11,-151.99,-94.65,104.03,18.78,-123.09,-90.04,-437.61,-504.34,-260.85,-181.62,-127.47
-58.46,-151.37,-92.71,104.52,17.25,-121.88,-87.6,-428.67,-495.72,-257.44,-180.35,-127.24
-59.92,-149.91,-89.76,104.47,15.03,-119.75,-85.3,-418.42,-485.13,-252.2,-177.89,-125.93
-61.23,-147.51,-86.07,104.01,12.62,-116.8,-82.64,-406.28,-472.27,-245.87,-174.75,-124.14
-62.45,-144.16,-81.53,103.06,9.86,-112.94,-79.77,-392.38,-457.14,-238.16,-170.76,-121.66
-63.24,-141.85,-78.46,102.35,7.99,-110.31,-77.15,-380.86,-444.97,-232.3,-167.79,-119.89
-63.52,-140.76,-77.12,101.96,7.18,-109.13,-74.78,-372.06,-436.22,-228.67,-166.07,-119.01
-63.52,-139.91,-76.29,101.49,6.73,-108.31,-72.54,-364.08,-428.37,-225.52,-164.56,-118.21
-63.11,-139.84,-76.64,101.14,7.01,-108.46,-70.53,-358.09,-422.91,-223.77,-163.81,-117.89
-62.43,-139.35,-76.87,100.5,7.39,-108.32,-68.39,-351.49,-416.66,-221.71,-162.81,-117.37
-61.5,-138.35,-76.87,99.55,7.85,-107.8,-66.1,-344.17,-409.47,-219.21,-161.5,-116.57
-60.13,-137.93,-77.9,98.64,9.0,-108.08,-63.95,-338.46,-404.22,-217.95,-160.85,-116.2
-58.35,-137.86,-79.71,97.71,10.75,-108.9,-61.89,-333.87,-400.28,-217.6,-160.68,-116.14
-56.5,-136.66,-80.45,96.17,11.99,-108.62,-59.74,-327.51,-393.88,-215.5,-159.39,-115.1
-54.58,-134.33,-80.12,94.02,12.73,-107.26,-57.53,-319.47,-385.07,-211.64,-156.98,-113.09
-52.43,-131.42,-79.47,91.48,13.43,-105.43,-55.3,-310.81,-375.29,-207.1,-154.09,-110.62
-50.13,-127.57,-78.03,88.4,13.82,-102.74,-53.0,-300.85,-363.64,-201.23,-150.34,-107.37
-47.42,-123.94,-77.24,85.21,14.73,-100.47,-50.83,-291.94,-353.12,-196.05,-146.91,-104.27
-44.26,-120.59,-77.18,81.93,16.2,-98.68,-48.78,-284.24,-343.93,-191.7,-143.89,-101.39
-40.85,-116.64,-76.79,78.23,17.64,-96.43,-46.76,-276.04,-333.85,-186.64,-140.36,-98.0
-37.12,-112.36,-76.39,74.19,19.21,-93.99,-44.8,-267.88,-323.56,-181.32,-136.59,-94.3
-34.23,-108.5,-75.49,70.81,20.16,-91.52,-42.7,-259.33,-313.33,-176.12,-133.01,-91.12
-32.3,-105.04,-73.93,68.14,20.34,-88.93,-40.44,-250.18,-302.98,-170.89,-129.55,-88.47
-30.75,-101.82,-72.18,65.78,20.25,-86.36,-38.14,-241.05,-292.88,-165.81,-126.22,-86.1
-29.91,-99.02,-70.06,64.01,19.65,-83.83,-35.76,-231.78,-283.07,-160.94,-123.1,-84.22
-29.15,-96.0,-67.6,62.17,18.85,-81.01,-33.38,-222.23,-272.87,-155.71,-119.76,-82.2
-28.45,-92.74,-64.84,60.25,17.88,-77.92,-31.02,-212.48,-262.33,-150.15,-116.18,-80.03
-28.41,-89.76,-61.6,58.82,16.37,-74.73,-28.58,-202.44,-251.82,-144.59,-112.69,-78.21
-28.93,-86.92,-57.88,57.75,14.36,-71.38,-26.08,-192.12,-241.23,-138.92,-109.19,-76.63
-29.09,-83.97,-54.43,56.44,12.67,-68.09,-23.71,-182.46,-231.16,-133.46,-105.73,-74.96
-28.9,-80.96,-51.28,54.93,11.29,-64.9,-21.48,-173.51,-221.71,-128.27,-102.34,-73.23
-28.73,-77.93,-48.05,53.43,9.87,-61.66,-19.31,-164.84,-212.53,-123.12,-98.94,-71.53
-28.37,-74.83,-44.95,51.8,8.6,-58.42,-17.25,-156.69,-203.79,-118.13,-95.57,-69.8
-28.54,-71.97,-41.48,50.57,6.92,-55.13,-15.16,-148.53,-195.28,-113.21,-92.31,-68.37
-29.29,-69.35,-37.61,49.77,4.77,-51.76,-13.06,-140.34,-186.99,-108.35,-89.14,-67.28
-30.09,-66.81,-33.73,49.04,2.6,-48.41,-11.04,-132.6,-179.2,-103.69,-86.07,-66.3
-31.11,-64.41,-29.73,48.5,0.27,-45.07,-9.07,-125.2,-171.88,-99.22,-83.11,-65.52
-31.33,-60.58,-25.53,46.72,-1.88,-41.07,-6.92,-117.64,-163.8,-94.23,-79.56,-63.96
-30.61,-55.15,-21.18,43.51,-3.77,-36.38,-4.58,-109.93,-154.87,-88.69,-75.34,-61.49
-29.53,-48.92,-16.63,39.65,-5.67,-31.3,-2.14,-102.27,-145.69,-82.93,-70.82,-58.65
-27.81,-41.44,-11.87,34.72,-7.45,-25.63,0.46,-94.53,-135.93,-76.76,-65.8,-55.16
-25.9,-33.57,-7.03,29.47,-9.21,-19.78,3.05,-87.15,-126.4,-70.63,-60.69,-51.54
-23.86,-25.37,-2.11,23.94,-10.98,-13.78,5.63,-80.16,-117.14,-64.56,-55.52,-47.83
-21.16,-15.98,2.96,17.38,-12.6,-7.25,8.34,-73.25,-107.49,-58.18,-49.91,-43.52
-17.9,-5.58,8.15,9.93,-14.09,-0.28,11.13,-66.54,-97.61,-51.58,-43.94,-38.7
-15.53,3.2,13.57,4.03,-15.88,6.36,13.89,-60.21,-88.3,-45.22,-38.12,-34.16
-14.1,10.23,19.24,-0.19,-17.96,12.64,16.6,-54.28,-79.57,-39.07,-32.45,-29.91
-12.97,16.66,25.08,-3.82,-20.16,18.87,19.32,-48.71,-71.14,-33.0,-26.74,-25.63
-12.53,21.8,31.12,-6.21,-22.56,24.87,22.02,-43.58,-63.21,-27.12,-21.11,-21.5
-11.77,27.4,37.32,-8.98,-24.89,31.19,24.8,-38.7,-55.16,-21.06,-15.15,-16.93
-10.65,33.57,43.67,-12.24,-27.13,37.84,27.68,-34.08,-46.96,-14.83,-8.85,-11.86
-9.97,38.81,50.22,-14.6,-29.5,44.39,30.58,-29.86,-39.1,-8.67,-2.51,-6.76
-9.51,43.5,56.96,-16.4,-31.94,50.95,33.51,-26.03,-31.44,-2.53,3.97,-1.49
-8.59,48.09,62.02,-18.71,-33.58,56.26,33.87,-22.75,-25.0,2.4,9.36,2.98
-7.24,52.41,65.21,-21.45,-34.37,60.11,31.37,-20.08,-19.96,5.97,13.49,6.51
-5.63,56.48,67.4,-24.33,-34.66,63.19,27.25,-17.93,-15.75,8.78,17.01,9.65
-3.61,60.35,68.04,-27.59,-34.21,65.09,20.75,-16.35,-12.68,10.49,19.55,12.11
-1.78,63.37,68.23,-30.25,-33.56,66.44,13.36,-15.31,-10.3,11.69,21.75,14.34
-0.17,65.49,67.99,-32.27,-32.72,67.25,5.12,-14.8,-8.61,12.42,23.62,16.36
1.68,67.06,66.3,-34.32,-31.2,66.85,-5.42,-14.93,-8.11,12.03,24.52,17.68
3.63,67.9,63.33,-36.17,-29.1,65.33,-17.97,-15.69,-8.75,10.63,24.56,18.39
5.47,68.19,60.43,-37.53,-26.95,63.75,-27.9,-16.96,-9.66,9.15,24.73,19.33
7.21,67.93,57.53,-38.43,-24.72,62.1,-34.96,-18.74,-10.84,7.58,25.0,20.52
8.89,66.9,54.11,-38.85,-22.2,59.88,-41.23,-21.11,-12.71,5.5,24.96,21.57
10.44,65.12,50.46,-38.69,-19.52,57.35,-45.48,-24.07,-15.06,3.13,24.83,22.68
12.11,62.54,45.5,-38.29,-16.22,53.66,-50.85,-27.72,-18.59,-0.29,23.84,23.21
13.9,59.09,39.13,-37.63,-12.24,48.72,-57.5,-32.1,-23.36,-4.82,21.92,23.09
15.64,54.81,32.12,-36.48,-7.92,43.13,-62.84,-37.14,-28.89,-9.93,19.62,22.81
17.39,49.64,24.2,-34.87,-3.14,36.68,-67.5,-42.89,-35.35,-15.8,16.77,22.22
18.17,43.49,17.07,-32.2,0.83,30.1,-70.12,-46.75,-40.22,-21.02,13.83,20.77
17.85,36.33,10.95,-28.36,3.83,23.52,-70.21,-48.49,-43.19,-25.4,10.91,18.47
16.93,28.15,4.84,-23.66,6.56,16.4,-68.81,-49.33,-45.61,-29.75,7.63,15.43
15.13,18.9,-0.77,-17.9,8.64,8.97,-65.42,-48.55,-46.73,-33.66,4.13,11.51
12.94,8.58,-6.69,-11.36,10.74,0.9,-60.1,-47.62,-47.92,-37.85,0.25,7.11
10.41,-2.83,-13.0,-4.01,12.91,-7.86,-52.85,-46.6,-49.26,-42.38,-4.05,2.23
6.99,-15.41,-18.86,4.44,14.49,-16.97,-43.08,-44.1,-49.42,-46.52,-8.56,-3.48
2.79,-29.17,-24.43,13.99,15.6,-26.51,-30.71,-40.38,-48.64,-50.41,-13.33,-9.96
-0.73,-41.94,-31.24,22.46,17.29,-36.25,-21.83,-37.34,-48.98,-54.52,-17.94,-15.61
-3.51,-53.52,-39.31,29.7,19.56,-46.11,-16.84,-34.96,-50.42,-58.77,-22.31,-20.32
-6.19,-64.98,-48.01,36.73,21.98,-56.26,-12.75,-32.47,-52.13,-63.02,-26.67,-24.83
-8.42,-75.71,-57.72,42.97,24.81,-66.59,-11.19,-30.31,-54.59,-67.35,-30.88,-28.68
-11.19,-87.01,-67.31,49.78,27.23,-77.18,-8.38,-26.95,-56.23,-71.28,-35.12,-32.91
-14.57,-98.97,-76.72,57.26,29.2,-88.01,-4.04,-22.28,-56.93,-74.76,-39.4,-37.59
-17.75,-110.39,-86.81,64.2,31.32,-98.97,-1.45,-17.4,-57.86,-78.07,-43.49,-41.8
-20.93,-121.52,-97.34,70.88,33.39,-110.06,0.2,-11.96,-58.67,-81.09,-47.42,-45.76
-23.62,-130.07,-105.03,76.25,35.15,-118.29,2.95,-7.53,-59.01,-83.11,-50.35,-48.79
-25.64,-135.6,-109.64,80.01,36.63,-123.31,6.59,-4.39,-58.94,-84.07,-52.16,-50.7
-27.39,-139.34,-112.54,82.84,37.81,-126.52,10.66,-1.51,-58.37,-84.18,-53.22,-51.92
-28.69,-140.53,-112.78,84.36,38.63,-127.01,15.59,0.64,-57.2,-83.21,-53.27,-52.2
-29.62,-140.16,-112.47,84.85,39.39,-126.44,19.34,2.73,-55.91,-81.6,-52.7,-51.67
-30.18,-138.22,-111.65,84.3,40.07,-124.83,21.83,4.84,-54.47,-79.32,-51.48,-50.32
-30.16,-133.5,-108.43,82.18,40.48,-120.54,24.38,6.2,-52.57,-75.94,-49.16,-47.82
-29.54,-126.09,-103.21,78.51,40.65,-113.83,26.52,6.95,-50.28,-71.5,-45.79,-44.17
-28.99,-121.43,-99.82,76.12,40.56,-109.59,28.01,8.67,-47.65,-67.95,-43.53,-41.89
-28.52,-119.79,-98.36,75.15,40.19,-108.02,28.89,11.37,-44.63,-65.37,-42.51,-41.16
-27.78,-118.6,-97.2,74.21,39.57,-106.92,28.95,14.39,-41.26,-62.87,-41.69,-40.71
-26.92,-119.27,-97.33,74.03,38.68,-107.55,28.09,18.12,-37.51,-60.96,-41.65,-41.23
-25.47,-118.22,-95.94,72.75,37.46,-106.53,26.77,21.43,-33.27,-58.34,-40.95,-41.09
-23.37,-115.18,-92.85,70.21,35.92,-103.64,24.91,24.24,-28.52,-54.93,-39.48,-40.19
-20.96,-113.14,-90.27,67.96,34.05,-101.63,22.21,27.44,-23.31,-51.79,-38.45,-39.88
-18.13,-111.31,-87.6,65.57,31.83,-99.76,18.71,30.78,-17.61,-48.67,-37.55,-39.83
-16.12,-108.76,-84.97,63.25,30.23,-97.4,16.87,33.98,-12.66,-45.41,-36.12,-39.12
-15.07,-105.77,-82.68,61.2,29.35,-94.83,16.87,37.1,-8.59,-42.15,-34.25,-37.84
-14.31,-102.26,-80.21,59.04,28.69,-91.84,17.57,40.11,-4.78,-38.76,-32.05,-36.18
-14.19,-98.06,-77.7,56.88,28.55,-88.36,19.66,42.96,-1.57,-35.25,-29.37,-33.94
-14.06,-94.47,-75.61,54.97,28.34,-85.43,21.58,46.0,1.74,-31.97,-26.89,-32.0
-13.87,-91.51,-73.93,53.3,28.04,-83.09,23.25,49.24,5.22,-28.94,-24.62,-30.38
-14.26,-88.46,-72.57,51.88,28.18,-80.77,26.04,52.45,8.17,-26.0,-22.14,-28.5
-15.12,-85.62,-71.64,50.78,28.64,-78.73,29.64,55.71,10.74,-23.26,-19.58,-26.54
-15.37,-82.56,-70.28,49.24,28.71,-76.44,32.25,59.37,14.34,-20.4,-17.06,-24.69
-14.99,-79.21,-68.43,47.23,28.42,-73.83,33.88,63.43,19.01,-17.43,-14.54,-22.92
